https://data.world/priyankad0993/top-50-imdb-movies-based-on-ratings,Number,Title,Year,Movie link,Rating,Runtime,Genre,Votes,Metascore,Gross,Plot
29,30.,Reservoir Dogs,1992,https://www.imdb.com/title/tt0105236/,8.3,99 min,"Crime, Drama, Thriller            ","844,322",79        ,$2.83M,"    When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
30,31.,Apocalypse Now,1979,https://www.imdb.com/title/tt0078788/,8.4,147 min,"Drama, Mystery, War            ","558,155",94        ,$83.47M,    A U.S. Army officer serving in Vitnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
31,32.,Guardians of the Galaxy,2014,https://www.imdb.com/title/tt2015381/,8.1,121 min,"Action, Adventure, Comedy            ","970,629",76        ,$333.18M,    A group of intergalactic criminas must pull together to stop a fanatical warrior with plans to purge the universe.
32,33.,The Lion King,1994,https://www.imdb.com/title/tt0110357/,8.5,88 min,"Animation, Adventure, Drama            ","861,071",88        ,$422.78M,"    A Lion cub crown prince is tricke by a treacherous uncle into thinking he caused his father's death and flees into exile in despair, only to learn in adulthood his identity and his responsibilities."
33,34.,American Beauty,1999,https://www.imdb.com/title/tt0169547/,8.3,122 min,Drama            ,"1,002,017",86        ,$130.10M,    A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
34,35.,Kill Bill: Vol. 1,2003,https://www.imdb.com/title/tt0266697/,8.1,111 min,"Action, Crime, Thriller            ","923,628",69        ,$70.10M,"    After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
35,36.,Goodfellas,1990,https://www.imdb.com/title/tt0099685/,8.7,146 min,"Biography, Crime, Drama            ","922,793",89        ,$46.84M,"    The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
36,37.,Harry Potter and the Deathly Hallows: Part 2,2011,https://www.imdb.com/title/tt1201607/,8.1,130 min,"Adventure, Drama, Fantasy            ","702,376",87        ,$381.01M,"    Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
37,38.,Léon,1994,https://www.imdb.com/title/tt0110413/,8.5,110 min,"Action, Crime, Drama            ","944,260",64        ,$19.50M,"    Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. Léon and Mathilda form an unusual relationship, as she becomes his protégée and learns the assassin's trade."
38,39.,Blade Runner,1982,https://www.imdb.com/title/tt0083658/,8.1,117 min,"Action, Sci-Fi, Thriller            ","638,751",89        ,$32.87M,"    A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator."
39,40.,The Silence of the Lambs,1991,https://www.imdb.com/title/tt0102926/,8.6,118 min,"Crime, Drama, Thriller            ","1,156,552",85        ,$130.74M,"    A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
40,41.,Back to the Future,1985,https://www.imdb.com/title/tt0088763/,8.5,116 min,"Adventure, Comedy, Sci-Fi            ","955,052",87        ,$210.61M,"    Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
41,42.,Requiem for a Dream,2000,https://www.imdb.com/title/tt0180093/,8.3,102 min,Drama            ,"710,505",68        ,$3.64M,    The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
42,43.,Shutter Island,2010,https://www.imdb.com/title/tt1130884/,8.1,138 min,"Mystery, Thriller            ","1,024,994",63        ,$128.01M,"    In 1954, a U.S. Marshal investigates the disappearance of a murderer, who escaped from a hospital for the criminally insane."
43,44.,Alien,1979,https://www.imdb.com/title/tt0078748/,8.4,117 min,"Horror, Sci-Fi            ","726,277",89        ,$78.90M,"    After a space merchant vessel perceives an unknown transmission as a distress call, its landing on the source moon finds one of the crew attacked by a mysterious lifeform, and they soon realize that its life cycle has merely begun."
44,45.,The Lord of the Rings: The Two Towers,2002,https://www.imdb.com/title/tt0167261/,8.7,179 min,"Adventure, Drama, Fantasy            ","1,373,648",87        ,$342.55M,"    While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
45,46.,The Departed,2006,https://www.imdb.com/title/tt0407887/,8.5,151 min,"Crime, Drama, Thriller            ","1,093,453",85        ,$132.38M,    An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
46,47.,Schindler's List,1993,https://www.imdb.com/title/tt0108052/,8.9,195 min,"Biography, Drama, History            ","1,108,341",94        ,$96.90M,"    In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
47,48.,Hacksaw Ridge,2016,https://www.imdb.com/title/tt2119532/,8.1,139 min,"Biography, Drama, History            ","377,397",71        ,$67.21M,"    World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot."
48,49.,Stand by Me,1986,https://www.imdb.com/title/tt0092005/,8.1,89 min,"Adventure, Drama            ","338,549",75        ,$52.29M,"    After the death of one of his friends, a writer recounts a boyhood journey with his friends to find the body of a missing boy."
49,50.,Saving Private Ryan,1998,https://www.imdb.com/title/tt0120815/,8.6,169 min,"Drama, War            ","1,131,574",91        ,$216.54M,"    Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
